Time	stationReference	region	ngr	stationName	parameter	qualifier	units	value	
2014-02-13T00:00:00Z	067014	North West	SJ0695543312	Corwen	Water Level	Stage	m	1.471	
2014-02-13T00:00:00Z	067014_TG 120	EA Wales	SJ0690843324	Corwen No2 LVL	Water Level	Stage	m	1.471	
2014-02-13T00:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.819	
2014-02-13T00:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.334	
2014-02-13T00:00:00Z	3570	Midland	SK05864800	Cauldon Low RAIN	Rainfall	Tipping Bucket Raingauge	mm	0.0	
2014-02-13T00:00:00Z	3774	Midland	SE74930980	Dirtness Ps RAIN	Rainfall	Tipping Bucket Raingauge	mm	0.0	
2014-02-13T00:00:00Z	47158	South West	SX4295699216	HALWILL RG	Rainfall	Tipping Bucket Raingauge	mm	0.000	
2014-02-13T00:00:00Z	E27452	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Stage	m	2.823	
2014-02-13T00:00:00Z	E27454	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Downstream Stage	m	2.240	
2014-02-13T00:15:00Z	067014	North West	SJ0695543312	Corwen	Water Level	Stage	m	1.447	
2014-02-13T00:15:00Z	067014_TG 120	EA Wales	SJ0690843324	Corwen No2 LVL	Water Level	Stage	m	1.447	
2014-02-13T00:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.818	
2014-02-13T00:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.336	
2014-02-13T00:15:00Z	47158	South West	SX4295699216	HALWILL RG	Rainfall	Tipping Bucket Raingauge	mm	0.000	
2014-02-13T00:15:00Z	E27452	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Stage	m	2.825	
2014-02-13T00:15:00Z	E27454	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Downstream Stage	m	2.240	
2014-02-13T00:30:00Z	067014	North West	SJ0695543312	Corwen	Water Level	Stage	m	1.432	
2014-02-13T00:30:00Z	067014_TG 120	EA Wales	SJ0690843324	Corwen No2 LVL	Water Level	Stage	m	1.432	
2014-02-13T00:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.818	
2014-02-13T00:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.338	
